[2025-09-22 09:16:18,708: INFO: main: Welcome to logger]
[2025-09-22 21:57:40,882: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-22 21:57:40,888: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-22 21:57:40,891: INFO: common: created directory at: artifacts]
[2025-09-22 21:57:40,894: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-22 21:57:40,901: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-22 21:57:57,245: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-23 17:55:57,121: INFO: main: Welcome to our custom log]
[2025-09-23 17:58:28,638: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-09-23 17:58:28,639: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-09-23 17:58:28,641: INFO: common: yaml file: params.yaml loaded successfully]
[2025-09-23 17:58:28,643: INFO: common: created directory at: artifacts]
[2025-09-23 17:58:28,643: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-23 17:58:28,644: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-23 17:58:41,074: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-09-23 17:58:42,080: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
